predicted_yost_label,predicted_zheng_label,p_zheng_given_yost,cooccurrence_count,threshold
CD8_act,CD8.c04.Tm.CD52,0.16696439571270175,5421,0.1
CD8_act,CD8.c02.Tm.IL7R,0.13308488357767648,4321,0.1
CD8_act,CD8.c16.MAIT.SLC4A10,0.11894788715042504,3862,0.1
CD8_act,CD8.c05.Tem.CXCR5,0.11284957496612048,3664,0.1
CD8_eff,CD8.c07.Temra.CX3CR1,0.7058947962205613,10011,0.1
CD8_eff,CD8.c08.Tk.TYROBP,0.12339585389930899,1750,0.1
CD8_ex,CD8.c12.Tex.CXCL13,0.3165170132325142,5358,0.1
CD8_ex,CD8.c10.Trm.ZNF683,0.13025756143667297,2205,0.1
CD8_ex,CD8.c02.Tm.IL7R,0.12553166351606806,2125,0.1
CD8_ex,CD8.c09.Tk.KIR2DL4,0.11814744801512288,2000,0.1
CD8_ex_act,CD8.c10.Trm.ZNF683,0.2939221929946006,4246,0.1
CD8_ex_act,CD8.c11.Tex.PDCD1,0.2363976187179842,3415,0.1
CD8_ex_act,CD8.c12.Tex.CXCL13,0.20773916655129449,3001,0.1
CD8_ex_act,CD8.c15.ISG.IFIT1,0.12847847154921777,1856,0.1
CD8_mem,CD8.c05.Tem.CXCR5,0.24095031293907268,9432,0.1
CD8_mem,CD8.c02.Tm.IL7R,0.13485758078937285,5279,0.1
CD8_mem,CD8.c06.Tem.GZMK,0.1309490356367352,5126,0.1
CD8_mem,CD8.c03.Tm.RPS12,0.12601864861412695,4933,0.1
CD8_mem,CD8.c01.Tn.MAL,0.12111380763826798,4741,0.1
